stock_code,sector_name,sector_source,verified_on
SCOA,Consumer Goods,NGX Pulse,2026-06-01
SEPLAT,Oil And Gas,NGX Pulse,2026-06-01
SFSREIT,Construction/Real Estate,NGX Pulse,2026-06-01
SKYAVN,Services,NGX Pulse,2026-06-01
SOVRENINS,Financial Services,NGX Pulse,2026-06-01
STACO,Financial Services,NGX Pulse,2026-06-01
STANBIC,Financial Services,NGX Pulse,2026-06-01
STERLINGNG,Financial Services,NGX Pulse,2026-06-01
SUNUASSUR,Financial Services,NGX Pulse,2026-06-01
TANTALIZER,Consumer Goods,NGX Pulse,2026-06-01
THOMASWY,Consumer Goods,NGX Pulse,2026-06-01
TIP,Waste Management,NGX Pulse,2026-06-01
TOTAL,Oil And Gas,NGX Pulse,2026-06-01
TRANSCOHOT,Services,NGX Pulse,2026-06-01
TRANSCORP,Conglomerates,NGX Pulse,2026-06-01
TRANSEXPR,Services,NGX Pulse,2026-06-01
TRANSPOWER,Utilities,NGX Pulse,2026-06-01
TRIPPLEG,ICT,NGX Pulse,2026-06-01
UACN,Conglomerates,NGX Pulse,2026-06-01
UBA,Financial Services,NGX Pulse,2026-06-01
UCAP,Financial Services,NGX Pulse,2026-06-01
UHOMREIT,Construction/Real Estate,NGX Pulse,2026-06-01
UNILEVER,Consumer Goods,NGX Pulse,2026-06-01
UNIONDICON,Consumer Goods,NGX Pulse,2026-06-01
UNITYBNK,Financial Services,NGX Pulse,2026-06-01
UNIVINSURE,Financial Services,NGX Pulse,2026-06-01
UPDC,Construction/Real Estate,NGX Pulse,2026-06-01
UPDCREIT,Construction/Real Estate,NGX Pulse,2026-06-01
UPL,Services,NGX Pulse,2026-06-01
VANLEER,Industrial Goods,Legacy Local Mapping,2026-06-01
VERITASKAP,Financial Services,NGX Pulse,2026-06-01
VFDGROUP,Financial Services,NGX Pulse,2026-06-01
VITAFOAM,Consumer Goods,NGX Pulse,2026-06-01
WAPCO,Industrial Goods,NGX Pulse,2026-06-01
WAPIC,Financial Services,NGX Pulse,2026-06-01
WEMABANK,Financial Services,NGX Pulse,2026-06-01
ZENITHBANK,Financial Services,NGX Pulse,2026-06-01
ZICHIS,Agriculture,NGX Pulse,2026-06-01
